name,Brand_name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Mahindra Verito Vibe 1.5 dCi D4,Mahindra,2013,250000,60000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2016,919999,75000,Diesel,Dealer,Manual,First Owner
Volkswagen Vento Magnific 1.6 Highline,Volkswagen,2013,380000,97248,Petrol,Dealer,Manual,First Owner
Maruti Swift VDI,Maruti,2012,450000,46000,Diesel,Individual,Manual,First Owner
Hyundai Verna 1.6 VTVT AT S Option,Hyundai,2016,770000,10000,Petrol,Individual,Automatic,First Owner
Maruti Swift Dzire LDI,Maruti,2018,550000,80000,Diesel,Individual,Manual,First Owner
Tata New Safari DICOR 2.2 GX 4x2,Tata,2011,320000,100000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIV,Maruti,2013,400000,35000,Petrol,Individual,Manual,First Owner
Maruti Celerio VXI AT,Maruti,2017,450000,50000,Petrol,Individual,Automatic,First Owner
Maruti SX4 ZDI,Maruti,2011,220000,90000,Diesel,Individual,Manual,Third Owner
Mahindra XUV500 W8 2WD,Mahindra,2012,400000,150000,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 SX VTVT (O),Hyundai,2013,530000,89000,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VDI,Maruti,2014,390000,60000,Diesel,Individual,Manual,Second Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),Fiat,2012,185000,100000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIV,Maruti,2012,300000,100000,Petrol,Individual,Manual,Second Owner
Maruti Swift VDI BSIV,Maruti,2014,575000,90000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R Stingray VXI,Maruti,2014,300000,75000,Petrol,Individual,Manual,First Owner
Toyota Etios Liva 1.4 VD,Toyota,2017,425000,36000,Diesel,Dealer,Manual,First Owner
Hyundai Xcent 1.2 Kappa SX,Hyundai,2016,350000,12000,Petrol,Individual,Manual,First Owner
Honda Amaze VX O iDTEC,Honda,2017,550000,12997,Diesel,Dealer,Manual,First Owner
Maruti Ciaz 1.4 AT Zeta,Maruti,2017,500000,40000,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio S4 4WD,Mahindra,2015,600000,60000,Diesel,Individual,Manual,First Owner
Mahindra Quanto C8,Mahindra,2013,300000,25000,Diesel,Individual,Manual,Second Owner
Hyundai Verna CRDi 1.6 SX Option,Hyundai,2018,1150000,26430,Diesel,Dealer,Manual,First Owner
Maruti Swift 1.3 VXI ABS,Maruti,2015,475000,24600,Petrol,Dealer,Manual,First Owner
Maruti Wagon R LXI,Maruti,2011,260000,28481,Petrol,Dealer,Manual,First Owner
Ford Ecosport 1.0 Ecoboost Titanium Optional,Ford,2013,350000,100000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 2WD,Mahindra,2013,750000,41988,Diesel,Dealer,Manual,First Owner
Maruti Wagon R LXI,Maruti,2009,180000,30375,Petrol,Dealer,Manual,First Owner
Renault KWID Climber 1.0 AMT BSIV,Renault,2017,350000,7658,Petrol,Dealer,Automatic,First Owner
Maruti Swift Dzire VDI,Maruti,2017,611000,34400,Diesel,Dealer,Manual,First Owner
Renault KWID RXL BSIV,Renault,2017,325000,18500,Petrol,Dealer,Manual,First Owner
Hyundai EON 1.0 Era Plus,Hyundai,2012,225000,48000,Petrol,Dealer,Manual,First Owner
Maruti Wagon R AMT VXI,Maruti,2014,300000,28942,Petrol,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,Mahindra,2017,400000,50000,Diesel,Individual,Manual,Second Owner
Mahindra XUV500 W8 2WD,Mahindra,2012,711000,53600,Diesel,Dealer,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,2015,851000,53652,Diesel,Dealer,Manual,First Owner
Maruti Ertiga VXI,Maruti,2014,500000,25000,Petrol,Individual,Manual,First Owner
Toyota Innova 2.5 G4 Diesel 8-seater,Toyota,2007,250000,80000,Diesel,Individual,Manual,Second Owner
Maruti Alto 800 VXI,Maruti,2017,150000,50000,Petrol,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,Mahindra,2016,610000,15000,Diesel,Individual,Manual,Second Owner
Mahindra KUV 100 G80 K2,Mahindra,2018,450000,5000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Asta Option,Hyundai,2017,744000,106000,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0,Chevrolet,2008,120000,100000,Petrol,Individual,Manual,Third Owner
Renault KWID RXL,Renault,2016,220000,60000,Petrol,Individual,Manual,Third Owner
Maruti Ertiga ZDI,Maruti,2012,480000,120000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Celerio ZXI Optional AMT BSIV,Maruti,2017,370000,82000,Petrol,Individual,Automatic,First Owner
Fiat Palio D 1.9 EL PS,Fiat,2003,55000,35000,Diesel,Individual,Manual,Second Owner
Hyundai EON Magna Plus,Hyundai,2013,125000,205000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 CRDI,Hyundai,2011,260000,125000,Diesel,Individual,Manual,Third Owner
Fiat Linea Classic 1.3 Multijet,Fiat,2015,350000,130000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 CNG LXI,Maruti,2012,170000,97000,CNG,Individual,Manual,Second Owner
Hyundai Grand i10 Sportz,Hyundai,2015,350000,90000,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VXi,Maruti,2009,250000,60000,Petrol,Individual,Manual,Third Owner
Tata Indigo CR4,Tata,2013,170000,60000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,Mahindra,2018,1300000,35000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai,2019,550000,25000,Petrol,Individual,Manual,First Owner
Honda Brio 1.2 S MT,Honda,2017,400000,15000,Petrol,Individual,Manual,First Owner
Tata Nano Lx,Tata,2011,120000,20000,Petrol,Individual,Manual,First Owner
Tata Nano Lx,Tata,2011,120000,20000,Petrol,Individual,Manual,First Owner
Ford Figo Petrol Titanium,Ford,2010,275000,70000,Petrol,Individual,Manual,First Owner
Tata Zest Revotron 1.2T XE,Tata,2016,285000,90000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi Base,Hyundai,2016,900000,80000,Diesel,Individual,Manual,First Owner
Mercedes-Benz M-Class ML 350 CDI,Mercedes-Benz,2014,2500000,79500,Diesel,Individual,Automatic,Second Owner
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2013,620000,70000,Diesel,Individual,Manual,Second Owner
Toyota Innova Crysta 2.4 GX MT 8S BSIV,Toyota,2018,1700000,5000,Diesel,Individual,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Ford,2018,650000,15000,Petrol,Individual,Manual,First Owner
Maruti Ertiga VXI,Maruti,2014,500000,35000,Petrol,Individual,Manual,First Owner
Tata New Safari DICOR 2.2 EX 4x4,Tata,2009,250000,120000,Diesel,Individual,Manual,Second Owner
Mahindra Marazzo M4,Mahindra,2018,950000,15000,Diesel,Individual,Manual,Second Owner
Toyota Etios Cross 1.2L G,Toyota,2015,320000,60000,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,Renault,2013,450000,120000,Diesel,Individual,Manual,First Owner
Mahindra KUV 100 mFALCON D75 K8 AW,Mahindra,2016,350000,90000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VXI,Maruti,2015,400000,90000,Petrol,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,Maruti,2018,200000,10000,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi (Diesel),Hyundai,2009,250000,72000,Diesel,Individual,Manual,Second Owner
Toyota Innova 2.0 GX 8 STR BSIV,Toyota,2011,550000,197000,Petrol,Individual,Manual,Second Owner
Maruti Zen LXI,Maruti,1999,85000,70000,Petrol,Individual,Manual,Second Owner
Hyundai Santro LP zipPlus,Hyundai,2001,52000,50000,Petrol,Individual,Manual,Third Owner
Tata Hexa XTA,Tata,2017,1200000,50000,Diesel,Individual,Automatic,First Owner
Hyundai Verna 1.6 SX VTVT AT,Hyundai,2011,450000,60000,Petrol,Individual,Automatic,Third Owner
Maruti Swift Dzire VXI 1.2 BS IV,Maruti,2018,615000,40000,Petrol,Individual,Manual,First Owner
Maruti SX4 ZDI Leather,Maruti,2012,400000,60000,Diesel,Individual,Manual,Second Owner
Tata Nano LX,Tata,2013,60000,40000,Petrol,Individual,Manual,First Owner
Maruti Ignis 1.2 Alpha BSIV,Maruti,2017,500000,9161,Petrol,Individual,Manual,First Owner
Honda Mobilio V i VTEC,Honda,2015,600000,45000,Petrol,Individual,Manual,First Owner
Hyundai Getz 1.3 GVS,Hyundai,2010,110000,110000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GL Plus,Hyundai,2013,175000,80000,Petrol,Individual,Manual,First Owner
Ford Fiesta Titanium 1.5 TDCi,Ford,2011,325000,100000,Diesel,Individual,Manual,Second Owner
Maruti Swift Dzire LDI,Maruti,2017,425000,90000,Diesel,Individual,Manual,First Owner
Hyundai Accent GLE CNG,Hyundai,2009,160000,70000,CNG,Individual,Manual,Third Owner
Maruti Zen Estilo LXI BSIII,Maruti,2007,100000,80000,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire LDI,Maruti,2014,390000,110000,Diesel,Individual,Manual,Second Owner
Hyundai i20 1.2 Spotz,Hyundai,2017,400000,50000,Petrol,Individual,Manual,First Owner
Tata Tigor 1.2 Revotron XM,Tata,2018,509999,5000,Petrol,Individual,Manual,First Owner
Hyundai i10 Magna 1.1,Hyundai,2008,150000,90000,Petrol,Individual,Manual,Third Owner
Hyundai Santro Xing GLS,Hyundai,2009,110000,120000,Petrol,Individual,Manual,First Owner
Nissan Sunny Diesel XV,Nissan,2013,450000,80000,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Spotz,Hyundai,2017,400000,38000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,Hyundai,2009,140000,120000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,Tata,2011,130000,90000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 LXI,Maruti,2017,160000,50000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,Maruti,2016,150000,60000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 2WD,Mahindra,2013,500000,100000,Diesel,Individual,Manual,Second Owner
Tata Nano Std,Tata,2011,40000,19000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera LT L1 7 Seats BSIII,Chevrolet,2006,140000,200000,Diesel,Individual,Manual,Third Owner
Mahindra Verito 1.5 D2 BSIV,Mahindra,2015,227000,70000,Diesel,Individual,Manual,Second Owner
Maruti Swift VDI,Maruti,2011,285000,50000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX,Maruti,2012,155000,19077,Petrol,Individual,Manual,Second Owner
Hyundai EON D Lite,Hyundai,2016,210000,30000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,Maruti,2009,140000,80000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 7 Seater,Toyota,2015,940000,128000,Diesel,Individual,Manual,First Owner
Nissan Terrano XV Premium 110 PS,Nissan,2013,750000,80000,Diesel,Individual,Manual,First Owner
Maruti Baleno Alpha 1.3,Maruti,2016,610000,100000,Diesel,Individual,Manual,First Owner
Nissan Sunny XV D Premium Leather,Nissan,2015,450000,50000,Diesel,Individual,Manual,First Owner
Toyota Etios Liva GD,Toyota,2012,409999,56000,Diesel,Individual,Manual,First Owner
Hyundai EON 1.0 Era Plus,Hyundai,2018,100000,21302,Petrol,Individual,Manual,First Owner
Renault KWID 1.0 RXT Optional,Renault,2018,300000,10500,Petrol,Individual,Manual,First Owner
Mahindra Bolero 2011-2019 SLX,Mahindra,2013,400000,107000,Diesel,Individual,Manual,First Owner
Hyundai i10 Sportz 1.2,Hyundai,2010,210000,60000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing XG eRLX Euro III,Hyundai,2006,90000,120000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI BS IV,Maruti,2010,222000,70000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,Maruti,2015,240000,50000,Petrol,Individual,Manual,Second Owner
Toyota Etios Liva GD,Toyota,2013,450000,70000,Diesel,Individual,Manual,Second Owner
Renault Duster 85PS Diesel RxL,Renault,2013,450000,1000,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner
Audi A4 3.0 TDI Quattro,Audi,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,BMW,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi SX,Hyundai,2016,535000,52600,Diesel,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,Maruti,2012,225000,110000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,2017,550000,19890,Petrol,Dealer,Automatic,First Owner
Maruti Swift ZXI BSIV,Maruti,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Ertiga VXI,Maruti,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,Hyundai,2017,520000,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,Chevrolet,2016,239000,41000,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,Toyota,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti S-Cross Zeta DDiS 200 SH,Maruti,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai i10 Magna,Hyundai,2012,229999,49824,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,Audi,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner
Hyundai Santro GS,Hyundai,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,Skoda,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 VTVT SX,Hyundai,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Swift Dzire VDI,Maruti,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner
Renault Duster 85PS Diesel RxL,Renault,2013,450000,1000,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner
Audi A4 3.0 TDI Quattro,Audi,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,BMW,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi SX,Hyundai,2016,535000,52600,Diesel,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,Maruti,2012,225000,110000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,2017,550000,19890,Petrol,Dealer,Automatic,First Owner
Maruti Swift ZXI BSIV,Maruti,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Ertiga VXI,Maruti,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,Hyundai,2017,520000,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,Chevrolet,2016,239000,41000,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,Toyota,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti S-Cross Zeta DDiS 200 SH,Maruti,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai i10 Magna,Hyundai,2012,229999,49824,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,Audi,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner
Hyundai Santro GS,Hyundai,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,Skoda,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 VTVT SX,Hyundai,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Swift Dzire VDI,Maruti,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner
Volkswagen Jetta 2.0L TDI Highline AT,Volkswagen,2012,735000,55300,Diesel,Dealer,Automatic,First Owner
Tata Indica Vista Quadrajet 90 VX,Tata,2012,285000,74300,Diesel,Dealer,Manual,First Owner
Honda City VX MT,Honda,2010,350000,48781,Petrol,Dealer,Manual,First Owner
Volkswagen Jetta 1.9 Highline TDI,Volkswagen,2010,290000,87620,Diesel,Dealer,Automatic,First Owner
Volkswagen Vento 1.5 TDI Highline Plus AT,Volkswagen,2017,890000,40219,Diesel,Dealer,Automatic,First Owner
Honda Jazz VX,Honda,2011,385000,11473,Petrol,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,Maruti,2017,425000,8352,Petrol,Dealer,Manual,First Owner
Maruti Wagon R VXI AMT1.2BSIV,Maruti,2017,525000,9745,Petrol,Dealer,Automatic,First Owner
Hyundai Grand i10 Asta,Hyundai,2017,550000,9748,Petrol,Dealer,Manual,First Owner
Volkswagen Polo 1.0 MPI Trendline,Volkswagen,2012,271000,49000,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Option,Hyundai,2018,1490000,20694,Diesel,Dealer,Manual,First Owner
Hyundai Grand i10 Asta Option,Hyundai,2015,490000,31080,Petrol,Dealer,Manual,First Owner
Hyundai EON Era Plus,Hyundai,2014,260000,37605,Petrol,Dealer,Manual,First Owner
Hyundai Xcent 1.1 CRDi SX Option,Hyundai,2014,455000,55850,Diesel,Dealer,Manual,First Owner
Tata Nano Lx BSIV,Tata,2010,75000,58850,Petrol,Dealer,Manual,First Owner
Toyota Etios Cross 1.2L G,Toyota,2015,421000,23839,Petrol,Dealer,Manual,First Owner
Maruti Swift DDiS LDI,Maruti,2016,550000,54000,Diesel,Dealer,Manual,First Owner
Hyundai i10 Sportz 1.2 AT,Hyundai,2013,330000,38000,Petrol,Dealer,Automatic,First Owner
Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,2012,390000,45454,Diesel,Dealer,Manual,First Owner
Skoda Rapid 1.5 TDI AT Ambition,Skoda,2015,599000,46957,Diesel,Dealer,Automatic,First Owner
Hyundai Getz GLE,Hyundai,2007,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Renault KWID RXT Optional,Renault,2016,250000,25000,Petrol,Individual,Manual,First Owner
Mahindra Scorpio M2DI,Mahindra,2012,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Ford Endeavour XLT TDCi 4X2,Ford,2008,280000,190000,Diesel,Individual,Manual,Second Owner
Audi Q3 35 TDI Quattro Technology,Audi,2018,2700000,25000,Diesel,Individual,Automatic,First Owner
Mahindra Renault Logan 1.4 GLX Petrol,Mahindra,2008,80000,90000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,Maruti,2019,350000,5000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,Maruti,2015,475000,60000,Diesel,Individual,Manual,First Owner
Audi A5 Sportback,Audi,2020,4700000,1500,Diesel,Individual,Automatic,First Owner
Maruti Swift Dzire VDI,Maruti,2018,500000,50000,Diesel,Individual,Manual,First Owner
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,Chevrolet,2014,250000,120000,Diesel,Individual,Manual,First Owner
Hyundai Accent CRDi,Hyundai,2005,100000,120000,Diesel,Individual,Manual,Second Owner
Maruti Alto K10 VXI Airbag,Maruti,2019,350000,5000,Petrol,Individual,Manual,First Owner
BMW 7 Series Signature 730Ld,BMW,2014,4000000,47000,Diesel,Individual,Automatic,First Owner
Toyota Camry 2.5 Hybrid,Toyota,2017,1900000,20000,Petrol,Individual,Automatic,First Owner
Hyundai Santro Xing XG,Hyundai,2005,95000,120000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,Hyundai,2015,409999,58000,Diesel,Individual,Manual,First Owner
Mahindra XUV500 W5 BSIV,Mahindra,2018,1050000,35000,Diesel,Individual,Manual,First Owner
Maruti Alto K10 VXI,Maruti,2017,320000,30000,Petrol,Individual,Manual,First Owner
Mahindra XUV300 W8 Option Diesel BSIV,Mahindra,2019,1000000,10000,Diesel,Individual,Manual,First Owner
Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,2017,1770000,25000,Diesel,Individual,Manual,First Owner
Mahindra Thar CRDe,Mahindra,2018,950000,20000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire ZDI,Maruti,2018,750000,50000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,Hyundai,2014,220000,42000,Petrol,Individual,Manual,First Owner
Tata Hexa XM,Tata,2017,1000000,50000,Diesel,Individual,Manual,First Owner
Honda Mobilio E i DTEC,Honda,2017,660000,116000,Diesel,Individual,Manual,First Owner
Maruti Ertiga ZDI,Maruti,2015,716000,100000,Diesel,Individual,Manual,First Owner
Maruti Ciaz ZXi Plus,Maruti,2015,675000,66000,Petrol,Individual,Manual,First Owner
Mahindra Scorpio LX,Mahindra,2010,385000,110000,Diesel,Individual,Manual,Third Owner
Fiat Grande Punto EVO 1.3 Dynamic,Fiat,2014,325000,70000,Diesel,Individual,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Option,Hyundai,2015,950000,60000,Diesel,Individual,Manual,First Owner
Ford Endeavour Hurricane Limited Edition,Ford,2007,400000,110000,Diesel,Individual,Automatic,Fourth & Above Owner
Tata Indica Vista TDI LS,Tata,2014,250000,25000,Diesel,Individual,Manual,First Owner
Land Rover Discovery S 2.0 SD4,Land,2018,4000000,68000,Petrol,Individual,Automatic,First Owner
Maruti Alto 800 LXI,Maruti,2014,210000,20000,Petrol,Individual,Manual,First Owner
Hyundai i10 Era 1.1 iTech SE,Hyundai,2011,147000,110000,Petrol,Individual,Manual,Second Owner
Maruti Vitara Brezza VDi Option,Maruti,2018,725000,26350,Diesel,Individual,Manual,First Owner
Mahindra Scorpio SLE BSIV,Mahindra,2012,550000,90000,Diesel,Individual,Manual,First Owner
Hyundai i20 Sportz Option 1.2,Hyundai,2016,475000,25000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GLS,Hyundai,2014,250000,50000,Petrol,Individual,Manual,Second Owner
Tata Indica LSI,Tata,2006,70000,60000,Petrol,Individual,Manual,Second Owner
Hyundai EON Era Plus,Hyundai,2012,160000,70000,Petrol,Individual,Manual,Third Owner
Ford Endeavour 3.0L 4X4 AT,Ford,2011,1000000,90000,Diesel,Individual,Automatic,Second Owner
Hyundai Santro LE zipPlus,Hyundai,2001,68000,70000,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,2017,500000,26500,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,Tata,2013,170000,60000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,Mahindra,2018,1300000,35000,Diesel,Individual,Manual,First Owner
Hyundai Creta 1.4 EX Diesel,Hyundai,2020,1050000,10000,Diesel,Individual,Manual,First Owner
Maruti Ritz LXI,Maruti,2009,300000,15000,Petrol,Individual,Manual,First Owner
Hyundai i20 Magna 1.2,Hyundai,2016,600000,25000,Petrol,Individual,Manual,First Owner
Hyundai Verna CRDi 1.6 SX,Hyundai,2017,900000,50000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai,2019,550000,25000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,Maruti,2007,100000,52000,Petrol,Individual,Manual,Second Owner
Honda Brio 1.2 S MT,Honda,2017,400000,15000,Petrol,Individual,Manual,First Owner
Tata Nano Lx,Tata,2011,120000,20000,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,Hyundai,2013,300000,90000,Diesel,Individual,Manual,First Owner
Tata Indigo LX,Tata,2011,140000,60000,Diesel,Individual,Manual,Second Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,Skoda,2015,640000,23000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,Maruti,2018,380000,22155,Petrol,Individual,Manual,First Owner
Tata Nano Lx,Tata,2011,120000,20000,Petrol,Individual,Manual,First Owner
Maruti Ciaz 1.4 Delta,Maruti,2018,650000,70000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,Maruti,2009,150000,60000,Petrol,Individual,Manual,Second Owner
Ford Figo Aspire 1.2 Ti-VCT Trend,Ford,2018,550000,35000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 4WD,Mahindra,2012,650000,71042,Diesel,Dealer,Manual,First Owner
Mitsubishi Pajero Sport 4X4,Mitsubishi,2012,1025000,167870,Diesel,Dealer,Manual,Second Owner
Ford Fiesta 1.5 TDCi Titanium,Ford,2011,195000,133564,Diesel,Dealer,Manual,First Owner
Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner
BMW 3 Series 320d Sport,BMW,2013,1490000,40000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,BMW,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
Honda City i-VTEC CVT ZX,Honda,2018,1140000,23038,Petrol,Trustmark Dealer,Automatic,First Owner
Chevrolet Beat Diesel LS,Chevrolet,2011,95000,70000,Diesel,Individual,Manual,First Owner
BMW 3 Series GT Luxury Line,BMW,2017,3050000,30000,Diesel,Individual,Automatic,First Owner
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,2017,550000,19890,Petrol,Dealer,Automatic,First Owner
Maruti Ertiga VXI,Maruti,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,Hyundai,2017,520000,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,Chevrolet,2016,239000,41000,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,Toyota,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Hyundai i10 Magna,Hyundai,2012,229999,49824,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,Audi,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner
Maruti Baleno Delta 1.2,Maruti,2017,585000,43608,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Baleno Alpha CVT,Maruti,2018,825000,11212,Petrol,Trustmark Dealer,Automatic,First Owner
Hyundai i20 1.4 Magna Executive,Hyundai,2013,280000,52000,Diesel,Dealer,Manual,First Owner
Maruti Baleno Zeta,Maruti,2016,725000,49217,Petrol,Trustmark Dealer,Manual,First Owner
Mahindra Verito 1.5 D4 BSIV,Mahindra,2015,300000,90000,Diesel,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,Hyundai,2015,375000,70000,Petrol,Individual,Manual,First Owner
Honda City VTEC,Honda,2003,310000,90000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti Swift Dzire VDi,Maruti,2011,375000,190000,Diesel,Individual,Manual,Third Owner
Ford Endeavour 3.2 Titanium AT 4X4,Ford,2016,1950000,106000,Diesel,Individual,Automatic,First Owner
Tata Xenon XT EX 4X2,Tata,2012,400000,80000,Diesel,Individual,Manual,Second Owner
Nissan Terrano XL Plus 85 PS,Nissan,2014,550000,80000,Diesel,Individual,Manual,Second Owner
Maruti Eeco 7 Seater Standard BSIV,Maruti,2018,270000,20000,Petrol,Individual,Manual,First Owner
